id,firstName,lastName,version,valeu,wages,contractexpires,club,Nationality,CA,PA
713854,Artur,Boruc,21,€ 26.000,€ 4.500,2021-06-30,Legia Warszawa,Poland,61,70
96061971,Taras,Romanczuk,22,€ 371.835,€ 3.030,2023-06-30,Jagiellonia Białys..,Poland,58,63
96061971,Taras,Romanczuk,21,€ 235.000,€ 3.100,2023-06-30,Jagiellonia Białys..,Poland,58,63
96011096,Rafal,Wolski,22,€ 156.561,€ 2.380,2023-06-30,Wisła Płock,Poland,58,65
96011096,Rafal,Wolski,21,€ 74.000,€ 2.600,2021-06-30,Wisła Płock,Poland,55,65
96010344,Kamil,Drygas,22,€ 173.637,€ 2.520,2022-06-30,Pogoń Szczecin,Poland,57,59
96010344,Kamil,Drygas,21,€ 105.000,€ 2.600,2021-06-30,Pogoń Szczecin,Poland,57,59
96003382,Michal,Kucharczyk,22,€ 188.378,€ 2.850,2023-06-30,Pogoń Szczecin,Poland,56,60
96003382,Michal,Kucharczyk,21,€ 145.000,€ 2.900,2023-06-30,Pogoń Szczecin,Poland,56,60
96111188,Bartosz,Slisz,22,€ 1.666.389,€ 1.210,2024-12-31,Legia Warszawa,Poland,56,70
96111188,Bartosz,Slisz,21,€ 94.000,€ 1.200,2024-12-31,Legia Warszawa,Poland,55,70
96002753,Maciej,Gajos,22,€ 115.679,€ 2.630,2022-06-30,Lechia Gdańsk,Poland,55,59
96002753,Maciej,Gajos,21,€ 130.000,€ 2.700,2022-06-30,Lechia Gdańsk,Poland,54,59
19359019,,Conrado,22,€ 211.579,€ 2.270,2024-06-30,Lechia Gdańsk,Brazil,56,60
19359019,,Conrado,21,€ 92.000,€ 2.200,2022-06-30,Lechia Gdańsk,Brazil,55,60
8404400,Pavels,Šteinbors,22,€ 32.000,€ 2.270,2022-06-30,Jagiellonia Białys..,Latvia,56,57
8404400,Pavels,Šteinbors,21,€ 48.500,€ 2.300,2022-06-30,Jagiellonia Białys..,Latvia,56,57
67039209,Flávio,Paixão,22,€ 39.050,€ 6.900,2022-06-30,Lechia Gdańsk,Portugal,59,59
67039209,Flávio,Paixão,21,€ 18.500,€ 7.000,2021-06-30,Lechia Gdańsk,Portugal,59,59
55022487,Luís,Rocha,22,€ 28.180,€ 2.270,2022-06-30,Cracovia,Portugal,50,55
55022487,Luís,Rocha,21,€ 33.500,€ 3.600,2021-06-30,Legia Warszawa,Portugal,51,55
55038682,Tomás,Podstawski,22,€ 196.151,€ 1.430,2021-12-31,Stabæk,Portugal,56,63
55038682,Tomás,Podstawski,21,€ 175.000,€ 3.100,2021-06-30,Pogoń Szczecin,Portugal,57,63
55070306,Luís,Mata,22,€ 414.830,€ 2.500,2023-06-30,Pogoń Szczecin,Portugal,53,58
55070306,Luís,Mata,21,€ 41.000,€ 1.300,2023-06-30,Pogoń Szczecin,Portugal,48,58
84109364,,Luquinhas,22,€ 1.017.063,€ 4.000,2024-06-30,Legia Warszawa,Brazil,61,66
84109364,,Luquinhas,21,€ 250.000,€ 3.000,2022-06-30,Legia Warszawa,Brazil,60,66
19148891,,Rivaldinho,22,€ 348.869,€ 3.000,2023-06-30,Cracovia,Brazil,54,62
19148891,,Rivaldinho,21,€ 145.000,€ 3.000,2023-06-30,Cracovia,Brazil,55,62
67227812,,Chuca,22,€ 100.638,€ 2.700,2023-06-30,Miedź Legnica,Spain,52,58
67227812,,Chuca,21,€ 53.000,€ 1.800,2022-06-30,Wisła Kraków,Spain,52,58
67102055,Jesús,Imaz,22,€ 268.688,€ 2.520,2022-06-30,Jagiellonia Białys..,Spain,60,63
67102055,Jesús,Imaz,21,€ 450.000,€ 2.600,2022-06-30,Jagiellonia Białys..,Spain,57,63
67209472,Jesús,Jiménez,22,€ 341.592,€ 1.770,2022-06-30,Górnik Zabrze,Spain,60,63
67209472,Jesús,Jiménez,21,€ 185.000,€ 1.800,2021-06-30,Górnik Zabrze,Spain,60,63
67179962,Fernán,Ferreiroa,22,€ 129.195,€ 2.000,2022-06-30,FK Qabala,Spain,48,53
67179962,Fernán,Ferreiroa,21,€ 25.500,€ 1.300,2021-06-30,Jagiellonia Białys..,Spain,48,53
