,id,firstName,lastName,club,values,wages,contractexpires,nation,currentAbility,potentialAbility,position,version,date,corners,crossing,dribbling,finishing,firstTouch,freeKickTaking,heading,longShots,longThrows,marking,passing,penaltyTaking,tackling,technique,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,offtheBall,positioning,teamwork,vision,workRate,acceleration,agility,balance,jumpingReach,naturalFitness,pace,stamina,strength
16,17039425,Godfrey Bitok,Stephen,Jagiellonia,€ 541.122,€ 410,2024-06-30,Nigeria,48,60,WBL,22,2021-11-8,9,13,13,8,12,12,10,12,13,10,12,13,10,10,8,12,12,12,10,9,13,13,8,13,6,6,12,9,13,13,13,10,13,13,12,10
17,17039425,Godfrey Bitok,Stephen,Isloch Minskiy dstr.,€ 1.300,€ 425,2020-12-31,Nigeria,51,55,DL,21,2020-11-23,9,13,11,10,12,12,10,12,13,12,12,12,13,12,8,9,8,9,8,8,13,8,8,14,6,6,6,10,14,13,13,10,13,13,13,10
18,18056527,Aleksandar,Kolev,Stal Mielec,€ 54.923,€ 1.410,2022-06-30,Bulgaria,49,53,ST,22,2021-11-8,6,8,9,11,11,10,11,11,7,8,10,11,9,10,15,11,17,11,11,11,15,9,11,11,9,12,8,12,10,10,15,15,13,11,12,14
19,18056527,Aleksandar,Kolev,FK Qaisar Qyzylorda,€ 200.000,€ 7.250,2022-12-31,Bulgaria,49,53,ST,21,2020-11-23,6,8,9,11,11,10,11,11,7,8,10,11,9,10,15,11,17,11,11,11,15,9,11,11,9,12,8,12,10,10,15,15,13,11,12,14
20,18057381,Florian,Loshaj,Cracovia,€ 176.729,€ 2.800,2023-06-30,Kosovo,55,58,MC,22,2021-11-8,7,13,12,12,13,8,10,13,5,9,12,10,9,13,10,12,10,12,12,13,11,7,10,12,11,13,13,13,12,13,12,7,10,12,13,11
21,18057381,Florian,Loshaj,Cracovia,€ 110.000,€ 2.800,2023-06-30,Kosovo,55,58,MC,21,2020-11-23,7,13,12,12,13,8,10,13,5,9,12,10,9,13,10,12,10,12,12,13,11,7,10,12,11,13,13,13,12,13,12,7,10,12,13,11
22,18060344,Georgii,Zhukov,Wisła Kraków,€ 115.678,€ 1.770,2022-06-30,Kazakhstan,53,55,DM,22,2021-11-8,8,8,12,9,12,8,5,10,6,13,13,8,13,13,13,13,13,10,10,13,12,12,10,12,10,12,11,14,12,12,9,7,12,12,11,9
23,18060344,Georgii,Zhukov,Wisła Kraków,€ 120.000,€ 1.800,2022-06-30,Kazakhstan,54,57,MC,21,2020-11-23,8,8,13,8,13,8,5,8,6,6,14,8,10,13,11,13,13,10,10,13,12,13,8,12,10,11,11,14,14,12,9,7,12,13,11,8
24,19148891,,Rivaldinho,Cracovia,€ 348.869,€ 3.000,2023-06-30,Brazil,54,62,AMR,22,2021-11-8,9,9,12,13,13,11,13,13,4,3,12,12,6,13,9,12,11,12,12,11,11,14,10,12,4,11,12,13,11,10,12,13,11,12,11,12
25,19148891,,Rivaldinho,Cracovia,€ 145.000,€ 3.000,2023-06-30,Brazil,55,62,AMR,21,2020-11-23,9,9,12,14,13,11,13,13,4,3,12,12,6,13,9,12,11,12,12,11,11,14,10,12,4,11,12,13,11,10,12,13,11,12,11,12
26,19350832,Jonathan,Silva,Botafogo,€ 2.548.100,€ 5.180,2024-06-30,Brazil,58,66,DL,22,2021-11-8,11,14,12,8,11,8,11,8,12,12,10,10,11,12,11,12,11,12,11,13,14,8,11,13,11,12,12,12,15,13,11,12,12,13,12,12
27,19350832,Jonathan,Silva,Las Palmas,€ 1.500.000,€ 4.600,2024-06-30,Brazil,58,69,DL,21,2020-11-23,11,14,12,8,11,8,11,8,12,12,10,10,11,12,12,12,12,12,11,13,15,8,11,13,11,12,12,12,15,13,11,12,12,13,12,12
28,19359019,,Conrado,Lechia,€ 211.579,€ 2.270,2024-06-30,Brazil,56,60,DL,22,2021-11-8,11,11,13,8,11,8,7,12,7,11,10,5,12,11,10,12,12,11,12,12,2,12,10,10,11,12,10,12,13,14,13,7,12,15,13,13
29,19359019,,Conrado,Lechia Gdańsk,€ 92.000,€ 2.200,2022-06-30,Brazil,55,60,DL,21,2020-11-23,11,11,12,8,11,8,7,12,7,11,10,5,12,11,10,12,12,11,12,12,13,12,10,10,11,12,10,12,13,14,13,7,12,15,13,13
30,2000007437,Radoslaw,Sewerys,Korona,€ 132.079,€ 90,2023-06-30,Poland,37,50-70,DC,22,2021-11-8,2,3,2,3,8,1,11,6,2,14,6,1,14,7,11,13,9,6,10,14,13,5,7,5,11,7,7,8,11,11,8,8,14,10,6,9
31,2000007437,Radoslaw,Sewerys,Korona Kielce,€ 5.500,€ 60,2023-06-30,Poland,0,50-70,DC,21,2020-11-23,4,2,1,1,6,1,13,2,3,12,7,1,12,5,15,7,9,7,10,13,5,5,11,1,13,6,4,7,11,7,7,7,12,10,11,9
32,2000012809,Iwo,Kaczmarski,Raków,€ 680.129,€ 440,2023-12-31,Poland,45,60-80,DM,22,2021-11-8,9,9,8,7,12,9,9,10,4,10,12,6,11,11,14,11,14,9,11,11,17,13,11,11,11,12,11,13,10,10,10,12,13,9,9,9
33,2000012809,Iwo,Kaczmarski,Korona Kielce,€ 8.750,€ 60,2023-06-30,Poland,0,60-80,DM,21,2020-11-23,7,7,9,9,6,7,7,8,6,7,11,1,11,6,12,9,11,6,6,14,17,14,3,9,11,12,11,13,12,9,4,8,8,11,8,7
34,2000013497,Przemyslaw,Kapek,Cracovia,€ 60.821,€ 150,2023-06-30,Poland,35,40-60,MC,22,2021-11-8,5,2,5,10,11,6,8,8,1,8,9,5,7,13,13,8,4,7,3,12,5,12,3,7,7,7,11,6,14,14,7,9,15,14,7,4
35,2000013497,Przemyslaw,Kapek,Cracovia,€ 1.800,€ 60,2022-06-30,Poland,0,40-60,ST,21,2020-11-23,5,5,11,13,12,5,13,6,3,4,6,3,1,9,11,11,6,8,4,8,10,9,7,9,5,5,5,6,12,9,6,5,9,11,6,8
36,2000014267,Kacper,Wachowiak,Unia Janikowo,€ 24.227,€ 170,2022-12-31,Poland,33,40-60,DC,22,2021-11-8,3,5,1,6,5,1,9,1,3,9,7,1,9,1,6,9,8,6,10,14,12,5,4,4,13,11,5,7,11,11,7,6,16,14,9,10
37,2000014267,Kacper,Wachowiak,Lech Poznań,€ 1.600,€ 190,2022-12-31,Poland,0,40-60,DC,21,2020-11-23,1,1,1,3,5,1,5,1,2,12,5,1,12,3,15,10,3,5,4,12,5,5,9,3,12,4,2,5,11,7,5,15,7,8,7,7
38,2000018864,Patryk,Soboczynski,Arka,€ 84.852,€ 170,2023-06-30,Poland,34,40-60,MC,22,2021-11-8,7,7,10,9,11,7,7,6,4,6,14,1,9,11,8,9,7,4,6,15,5,8,11,9,5,8,11,9,10,8,4,5,5,11,9,6
39,2000018864,Patryk,Soboczynski,Arka Gdynia,€ 2.700,€ 60,2023-06-30,Poland,0,40-60,MC,21,2020-11-23,6,7,9,6,6,7,7,6,4,4,11,1,8,13,12,6,7,10,6,14,13,13,5,6,8,9,14,12,10,12,9,9,12,11,7,6
40,2000031079,Przemyslaw,Maj,Stal Mielec,€ 198.731,€ 100,2023-06-30,Poland,38,50-70,AMR,22,2021-11-8,8,9,11,9,10,8,10,10,6,8,9,8,10,11,8,9,10,10,10,10,10,9,8,10,9,9,10,7,11,9,10,7,7,11,9,7
41,2000031079,Przemyslaw,Maj,Stal Mielec,€ 600,€ 60,2022-06-30,Poland,0,40,AMR,21,2020-11-23,8,7,9,8,9,8,10,8,8,8,9,3,10,10,8,9,9,7,10,9,11,10,8,8,9,9,8,7,10,9,9,11,7,9,8,7
42,2000036459,Filip,Koperski,Lechia,€ 162.248,€ 60,2023-06-30,Poland,38,50-70,MC,22,2021-11-8,6,5,8,8,9,6,5,7,3,7,8,5,5,13,10,7,3,7,6,10,14,13,8,8,6,7,13,10,13,12,3,8,16,13,9,5
43,2000036459,Filip,Koperski,Lechia Gdańsk,€ 1.900,€ 60,2023-06-30,Poland,0,40-60,MC,21,2020-11-23,6,3,8,7,8,6,6,5,4,7,13,7,4,13,9,6,3,12,7,10,6,12,10,6,8,8,6,12,14,12,7,5,16,14,7,1
44,2000037399,Jakub,Gut,Cracovia,€ 140.147,€ 60,2022-06-30,Poland,35,40-60,AMC,22,2021-11-8,5,4,7,7,13,5,5,7,1,5,9,2,4,10,13,7,7,6,6,13,1,15,3,7,7,6,13,7,13,13,2,3,17,13,10,3
45,2000037399,Jakub,Gut,Cracovia,€ 1.800,€ 60,2022-06-30,Poland,0,40-60,AMC,21,2020-11-23,4,3,8,8,14,5,6,8,2,6,12,1,5,14,13,3,4,7,4,11,5,13,7,7,6,7,11,8,9,9,7,15,7,12,12,7
46,2000037468,Piotr,Starzynski,Wisła Kraków,€ 1.128.289,€ 1.120,2023-06-30,Poland,48,60-80,MC,22,2021-11-8,5,12,14,8,13,7,8,9,4,5,13,8,8,13,7,10,12,12,11,11,16,1,4,12,12,8,11,12,13,12,11,7,11,12,10,7
47,2000037468,Piotr,Starzynski,Wisła Kraków,€ 3.800,€ 60,2023-06-30,Poland,0,50-70,MC,21,2020-11-23,7,8,9,9,15,7,7,9,1,7,15,1,4,10,8,10,4,9,8,5,14,9,7,8,8,8,6,9,12,10,8,5,8,12,6,5
48,2000038808,Norbert,Paclawski,Lech,€ 147.339,€ 270,2022-06-30,Poland,36,50-70,AMR,22,2021-11-8,8,10,8,9,13,8,13,9,7,7,9,2,7,9,12,9,4,10,7,10,11,10,8,11,9,9,10,10,10,13,9,11,14,10,8,7
49,2000038808,Norbert,Paclawski,Lech Poznań,€ 5.750,€ 60,2023-06-30,Poland,0,50-70,AMC,21,2020-11-23,6,8,9,13,11,5,11,8,2,5,5,2,2,9,8,8,8,6,7,13,6,9,10,9,5,7,9,8,13,13,7,13,7,13,6,5
50,2000042276,Antoni,Kozubal,Lech,€ 161.722,€ 60,2024-06-30,Poland,36,50-70,MC,22,2021-11-8,7,6,8,7,9,7,7,8,1,7,9,5,7,10,11,10,2,7,3,9,12,7,4,11,7,8,8,13,11,14,8,4,15,14,8,7
51,2000042276,Antoni,Kozubal,Lech Poznań,€ 1.900,€ 60,2024-06-30,Poland,0,40-60,MC,21,2020-11-23,6,4,4,2,13,6,2,7,1,4,14,2,5,12,10,7,3,5,2,11,4,5,3,7,4,7,12,12,13,13,5,5,15,11,9,3
52,2000045437,Milosz,Matysik,Jagiellonia,€ 169.264,€ 150,2024-06-30,Poland,35,50-70,DC,22,2021-11-8,8,5,7,2,12,7,12,6,5,9,10,5,12,9,13,8,10,10,13,9,3,7,11,8,12,8,6,11,9,6,10,14,8,9,6,10
53,2000045437,Milosz,Matysik,Jagiellonia Białystok,€ 3.600,€ 60,2023-06-30,Poland,0,40-60,MC,21,2020-11-23,5,5,2,4,13,2,5,5,2,8,11,3,10,12,10,7,6,5,2,13,7,6,2,7,5,7,10,10,13,13,6,12,11,13,5,4
54,2000047804,Jakub,Witek,Radunia,€ 176.105,€ 150,2024-06-30,Poland,42,50-70,DM,22,2021-11-8,8,5,5,10,11,8,8,10,5,10,14,7,8,15,8,9,9,9,10,13,18,5,11,7,12,10,14,10,6,9,15,11,12,10,5,5
55,2000047804,Jakub,Witek,GKS Bełchatów,€ 6.250,€ 150,2021-06-30,Poland,0,50-70,DM,21,2020-11-23,7,5,6,7,13,6,7,8,6,7,11,3,13,11,5,6,8,9,4,14,11,5,6,6,8,9,11,8,13,10,9,11,11,12,7,14
56,2000060326,Vinicius,Mello,Internacional,€ 144.277,€ 280,2023-12-31,Brazil,44,50-70,AMR,22,2021-11-8,8,9,10,11,10,8,11,9,10,7,9,7,7,10,12,10,13,10,9,9,13,7,5,10,8,11,9,12,10,11,12,12,13,11,12,13
57,2000060326,Vinicius,Mello,Sport Club Internacional,€ 500,€ 35,2021-12-31,Brazil,0,40-60,ST,21,2020-11-23,5,4,12,12,6,5,10,4,1,1,5,3,3,11,11,12,7,5,5,7,13,15,6,10,3,4,5,6,12,12,5,5,15,12,10,7
58,2000083130,Jakub,Hora,Teplice,€ 79.006,€ 210,2022-06-30,Czech Republic,30,40,DL,22,2021-11-8,6,8,6,2,6,1,7,7,3,11,8,3,11,8,11,8,9,8,10,8,17,5,12,7,9,8,8,8,14,11,8,9,10,13,6,6
60,2000120037,Maciej,Sowinski,Górnik Polkowice,€ 20.242,€ 60,2023-06-30,Poland,30,40,DM,22,2021-11-8,5,5,3,2,13,5,5,8,1,3,10,4,9,9,6,8,7,7,4,12,11,5,9,6,4,6,5,9,13,14,6,8,15,13,6,5
62,21020914,Adi,Mehremic,Wisła Kraków,€ 147.837,€ 3.000,2023-06-30,Bosnia and Herzegovina,53,54,DL,22,2021-11-8,7,7,9,6,10,6,12,8,8,12,10,8,13,10,13,14,13,9,8,9,12,7,8,6,13,12,8,13,13,11,13,14,12,13,14,14
63,21020914,Adi,Mehremic,Wisła Kraków,€ 86.000,€ 2.100,2021-06-30,Bosnia and Herzegovina,55,55,DL,21,2020-11-23,7,7,9,6,10,6,12,8,8,12,10,8,14,10,13,15,13,9,8,9,12,7,8,6,13,12,8,13,13,11,13,14,12,13,14,15
64,21022758,Damir,Sadikovic,Cracovia,€ 39.369,€ 2.000,2023-06-30,Bosnia and Herzegovina,50,59,MC,22,2021-11-8,9,7,12,11,13,9,7,13,9,8,13,6,11,11,7,13,9,12,12,13,6,9,4,13,12,10,13,14,11,11,12,13,7,11,11,11
65,21022758,Damir,Sadikovic,Cracovia,€ 59.000,€ 1.700,2023-06-30,Bosnia and Herzegovina,50,59,MC,21,2020-11-23,7,8,12,11,14,2,8,10,8,8,13,4,11,11,12,13,7,12,12,13,13,8,13,14,12,9,13,13,11,11,12,9,14,11,11,11
66,219033,Alasana,Manneh,Górnik,€ 1.223.445,€ 1.640,2023-06-30,The Gambia,57,68,DM,22,2021-11-8,12,10,11,11,13,11,7,12,9,10,13,9,12,13,12,12,12,12,12,11,13,13,12,12,12,14,13,12,12,13,11,7,11,12,13,8
67,219033,Alasana,Manneh,Górnik Zabrze,€ 135.000,€ 1.400,2022-06-30,The Gambia,57,65,DM,21,2020-11-23,12,10,11,11,13,11,7,12,9,10,13,9,12,13,12,12,12,12,12,11,13,13,12,12,12,14,13,12,12,13,11,7,11,12,13,8
68,22028484,Diego,Ferraresso,Botev Vratsa,€ 134.640,€ 510,2022-06-30,Bulgaria,51,55,DR,22,2021-11-8,10,10,12,8,11,6,6,12,13,9,11,7,12,13,12,10,13,11,10,8,13,11,7,11,10,12,11,13,13,14,10,7,12,12,13,7
69,22028484,Diego,Ferraresso,Cracovia,€ 33.500,€ 1.500,2021-06-30,Bulgaria,51,55,DR,21,2020-11-23,10,10,12,8,11,6,6,12,13,9,11,7,12,13,12,10,13,11,10,8,13,11,7,11,10,12,11,13,13,14,10,7,12,12,13,7
70,24003558,Domagoj,Antolic,Damac,€ sale,€ 13.230,2023-06-30,Croatia,60,60,DM,22,2021-11-8,14,15,8,10,12,13,5,11,5,11,15,13,13,13,15,17,10,15,13,14,13,12,15,14,17,16,15,14,7,7,12,9,11,8,13,12
71,24003558,Domagoj,Antolic,Legia Warszawa,€ 56.000,€ 7.750,2020-12-31,Croatia,58,59,DM,21,2020-11-23,14,15,8,10,12,13,5,11,5,11,15,13,13,12,15,17,10,15,13,13,13,12,15,12,17,16,14,14,7,7,12,9,10,7,14,12
72,24003760,Mario,Maloca,Lechia,€ 48.345,€ 3.530,2022-06-30,Croatia,53,61,DC,22,2021-11-8,3,6,8,9,8,4,13,5,10,12,9,11,14,9,6,13,16,9,10,10,17,7,14,8,12,13,7,10,11,10,12,14,16,12,11,14
73,24003760,Mario,Maloca,Lechia Gdańsk,€ 145.000,€ 3.600,2022-06-30,Croatia,54,61,DC,21,2020-11-23,3,6,8,9,8,4,13,5,10,12,9,11,14,9,6,13,16,9,9,9,17,7,14,8,12,13,7,10,12,11,13,15,16,13,11,15
74,24004593,Ivan,Runje,Jagiellonia,€ 304.782,€ 3.950,2024-06-30,Croatia,57,63,DC,22,2021-11-8,5,8,7,7,12,9,13,8,8,14,13,13,14,12,10,13,15,13,10,11,11,6,13,7,14,14,9,13,8,8,14,15,13,9,14,13
75,24004593,Ivan,Runje,Jagiellonia Białystok,€ 165.000,€ 2.600,2021-06-30,Croatia,57,63,DC,21,2020-11-23,5,8,7,7,12,9,13,8,8,14,13,13,14,12,10,13,15,13,10,11,11,6,13,7,14,14,9,13,8,8,14,15,13,9,14,13
76,24004748,Dino,Štiglec,Śląsk,€ 83.421,€ 2.120,2022-06-30,Croatia,55,57,DL,22,2021-11-8,11,13,8,6,9,13,11,12,12,10,12,8,13,9,13,11,12,9,13,11,11,8,8,11,12,13,13,13,11,11,13,13,13,12,16,13
77,24004748,Dino,Štiglec,Śląsk Wrocław,€ 70.000,€ 2.100,2021-06-30,Croatia,55,57,DL,21,2020-11-23,11,13,8,6,9,13,11,12,12,10,12,8,13,9,13,11,12,9,13,11,11,8,8,11,12,13,13,13,11,11,13,13,7,12,16,13
78,24017820,Antonio,Milic,Lech,€ 790.104,€ 4.390,2023-06-30,Croatia,59,63,DL,22,2021-11-8,7,8,10,8,11,8,12,9,4,11,10,4,12,12,13,11,13,9,10,10,12,7,10,11,12,14,11,13,12,13,11,15,12,12,13,14
79,24017820,Antonio,Milic,RSC Anderlecht,€ 575.000,€ 16.500,2022-06-30,Croatia,58,63,DL,21,2020-11-23,9,8,10,9,11,10,12,10,7,11,10,6,13,12,13,11,14,9,10,10,12,7,10,11,12,14,10,14,12,13,11,15,13,12,13,14
80,24018458,Diego,Živulic,,0,0,,Croatia,49,55,DM,22,2021-11-8,7,9,12,7,10,9,13,8,14,12,11,11,10,11,15,12,12,13,11,11,10,10,9,7,12,13,8,13,10,11,12,14,14,11,14,13
81,24018458,Diego,Živulic,Śląsk Wrocław,€ 37.500,€ 2.600,2021-06-30,Croatia,50,55,MC,21,2020-11-23,7,9,12,7,10,9,13,13,14,14,12,11,13,11,15,12,12,13,12,11,10,10,9,7,12,13,8,13,13,11,15,14,14,12,14,14
82,24025990,Jakov,Puljic,Puskás Akadémia,€ 494.998,€ 3.000,2023-06-30,Croatia,58,63,AMC,22,2021-11-8,12,11,13,14,13,14,13,14,6,5,12,14,6,14,14,12,8,12,11,10,12,14,7,15,5,8,12,14,12,12,14,14,12,12,12,6
83,24025990,Jakov,Puljic,Jagiellonia Białystok,€ 275.000,€ 3.000,2022-06-30,Croatia,55,63,AMC,21,2020-11-23,12,11,13,13,12,14,13,14,4,5,12,14,6,14,14,11,8,12,11,10,12,14,7,15,5,8,12,14,12,12,14,14,11,12,12,6
84,24026910,Petar,Mamic,Hrvatski Dragovoljac,€ 25.913,€ 160,2024-06-30,Croatia,47,53,DL,22,2021-11-8,7,12,9,7,11,9,7,10,10,8,11,6,11,10,12,11,11,10,9,9,13,11,11,12,9,14,9,13,13,10,9,10,14,12,13,9
85,24026910,Petar,Mamic,Raków Częstochowa,€ 76.000,€ 400,2022-06-30,Croatia,51,60,DL,21,2020-11-23,7,14,12,7,10,9,7,10,10,8,11,6,11,10,12,11,11,10,10,10,13,11,11,12,9,14,9,13,13,13,9,10,14,12,14,9
86,24039536,Karlo,Muhar,CSKA-Sofia,€ 66.947,€ 3.030,2023-06-30,Croatia,51,61,DM,22,2021-11-8,6,7,10,7,12,7,12,7,7,12,11,9,12,11,16,11,12,10,9,10,12,9,13,10,12,13,12,13,12,12,12,12,11,12,13,13
87,24039536,Karlo,Muhar,Lech Poznań,€ 85.000,€ 3.100,2023-06-30,Croatia,50,61,DM,21,2020-11-23,6,7,10,7,12,7,13,7,7,12,11,9,12,11,16,10,12,10,8,10,12,9,13,10,11,13,12,14,12,12,12,8,11,12,14,13
88,24039616,Ivan,Fiolic,NK Osijek,€ 504.180,€ 800,2024-06-30,Croatia,57,63,AMR,22,2021-11-8,16,17,14,11,15,13,9,13,5,4,12,13,6,13,11,10,8,12,7,8,10,14,10,12,4,11,12,11,15,15,13,8,12,12,10,8
89,24039616,Ivan,Fiolic,Cracovia,€ 600.000,€ 10.000,2022-06-30,Croatia,57,63,AMR,21,2020-11-23,16,17,14,11,15,13,9,13,5,4,12,13,6,13,11,10,8,12,7,8,10,14,10,12,4,11,12,11,15,15,13,8,12,12,10,8
90,24042681,Zoran,Arsenic,Raków,€ 568.276,€ 2.350,2026-06-30,Croatia,54,56,DR,22,2021-11-8,6,10,7,8,10,5,11,8,7,13,8,9,13,8,13,12,15,9,11,10,13,9,8,11,13,14,7,16,13,11,12,12,13,12,15,13
91,24042681,Zoran,Arsenic,HNK Rijeka,€ 130.000,€ 2.100,2022-06-30,Croatia,54,63,DR,21,2020-11-23,9,10,7,8,10,10,11,8,8,13,8,8,13,8,11,12,15,9,11,10,13,9,8,11,13,14,7,16,13,12,11,12,15,12,15,12
92,24047634,Josip,Juranovic,Celtic,€ 6.278.086,€ 18.720,2026-05-31,Croatia,60,65,DR,22,2021-11-8,12,12,13,8,12,13,8,12,4,9,10,13,12,13,14,13,16,8,11,10,17,13,15,12,11,13,8,14,13,11,12,7,13,14,15,11
93,24047634,Josip,Juranovic,Legia Warszawa,€ 500.000,€ 6.250,2023-06-30,Croatia,58,65,DR,21,2020-11-23,12,12,11,8,12,13,8,12,4,9,10,13,12,13,14,13,16,8,11,10,17,13,15,10,10,13,8,14,12,11,12,7,13,11,15,11
94,24052225,Matej,Rodin,Cracovia,€ 152.208,€ 2.200,2023-06-30,Croatia,54,58,DC,22,2021-11-8,6,7,8,8,11,5,13,5,9,12,12,5,13,11,12,10,11,12,10,9,9,9,10,12,13,8,6,12,8,8,12,15,15,12,12,15
95,24052225,Matej,Rodin,Cracovia,€ 105.000,€ 2.200,2023-06-30,Croatia,54,58,DC,21,2020-11-23,6,7,8,8,11,5,13,5,9,12,12,5,13,11,12,10,11,12,10,9,19,9,9,12,13,8,6,12,8,8,12,15,13,12,12,15
96,25017044,Martin,Sus,Příbram,€ 129.602,€ 460,2022-06-30,Czech Republic,48,53,DR,22,2021-11-8,11,12,13,9,15,12,9,6,5,11,13,9,6,15,8,13,7,9,10,9,12,16,15,11,14,8,6,8,13,13,7,11,8,12,13,8
97,25017044,Martin,Sus,Stal Mielec,€ 36.500,€ 1.300,2022-06-30,Czech Republic,49,53,DR,21,2020-11-23,11,12,14,9,15,12,9,6,5,11,13,9,6,15,8,13,7,9,10,9,12,16,15,11,14,8,6,8,13,14,7,11,8,13,13,8
98,25019878,Michal,Frydrych,Wisła Kraków,€ sale,€ 4.000,2023-06-30,Czech Republic,60,62,DR,22,2021-11-8,5,8,10,12,10,8,15,11,12,13,10,10,13,9,12,12,14,13,12,12,14,6,14,14,14,11,10,15,11,10,13,12,14,12,13,12
99,25019878,Michal,Frydrych,Wisła Kraków,€ 425.000,€ 3.800,2023-06-30,Czech Republic,60,62,DR,21,2020-11-23,5,8,10,12,10,8,15,11,12,13,10,10,13,9,11,12,14,13,12,12,14,6,13,14,14,11,10,16,11,10,13,12,14,12,13,12
